index,user_id,comment,label_AB,label_AC,label_BC
5,ucbalumnus,"
For “grad school”:
PhD program:  funded with tuition waiver and stipend (usually for doing teaching assistant or research assistant work)
JD program:  expensive, admission mainly based on college GPA and LSAT score ( http://lawschoolnumbers.com )
MBA program:  expensive, admission significantly depends on good post-graduation work experience

",0,1,2
5,ucbalumnus,"
For “grad school”:
PhD program:  funded with tuition waiver and stipend (usually for doing teaching assistant or research assistant work)
JD program:  expensive, admission mainly based on college GPA and LSAT score ( http://lawschoolnumbers.com )
MBA program:  expensive, admission significantly depends on good post-graduation work experience

",0,0,0
6,sevmom,"
“Will he thrive/feel challenged at UMD.”. Any computer engineering curriculum is going to be challenging.  Since you have already  let him know you can help with grad study if he picks UMD, this may be something you will just have to let him decide. I hope he picks UMD since picking the others could impact his finances down the line.  He has a great opportunity to receive an education from a wonderful university for free!  He is very lucky. Good luck with the decision.

",0,2,2
6,sevmom,"
“Will he thrive/feel challenged at UMD.”. Any computer engineering curriculum is going to be challenging.  Since you have already  let him know you can help with grad study if he picks UMD, this may be something you will just have to let him decide. I hope he picks UMD since picking the others could impact his finances down the line.  He has a great opportunity to receive an education from a wonderful university for free!  He is very lucky. Good luck with the decision.

",2,1,0
6,sevmom,"
“Will he thrive/feel challenged at UMD.”. Any computer engineering curriculum is going to be challenging.  Since you have already  let him know you can help with grad study if he picks UMD, this may be something you will just have to let him decide. I hope he picks UMD since picking the others could impact his finances down the line.  He has a great opportunity to receive an education from a wonderful university for free!  He is very lucky. Good luck with the decision.

",0,2,2
7,rjkofnovi,"
This is easy.  Take the free school here!

",0,2,2
7,rjkofnovi,"
This is easy.  Take the free school here!

",2,3,0
7,rjkofnovi,"
This is easy.  Take the free school here!

",0,2,2
9,CU123,"
For engineering, UMD is virtually a no brainer where he should graduate at the top of the class and have a world of opportunity open to him either in industry or grad schools.

",0,2,2
9,CU123,"
For engineering, UMD is virtually a no brainer where he should graduate at the top of the class and have a world of opportunity open to him either in industry or grad schools.

",1,2,2
9,CU123,"
For engineering, UMD is virtually a no brainer where he should graduate at the top of the class and have a world of opportunity open to him either in industry or grad schools.

",0,2,2
10,ucbalumnus,"
Show him how much a top 14 law school will cost (tuition plus living expenses for 3 years).
Have him calculate how long it would take to pay off that amount of debt if he has spent all of the college money for undergraduate instead of taking the highly respectable full ride option.

",0,2,2
10,ucbalumnus,"
Show him how much a top 14 law school will cost (tuition plus living expenses for 3 years).
Have him calculate how long it would take to pay off that amount of debt if he has spent all of the college money for undergraduate instead of taking the highly respectable full ride option.

",0,1,2
10,ucbalumnus,"
Show him how much a top 14 law school will cost (tuition plus living expenses for 3 years).
Have him calculate how long it would take to pay off that amount of debt if he has spent all of the college money for undergraduate instead of taking the highly respectable full ride option.

",0,0,0
11,osuprof,"
I looked over the bingo sheet for computer engineering at UMCP. It is a high quality program – 130 credits,  many computer science  classes, together with computer hardware and basic EE classes.  I happen to have direct knowledge of the CS classes – they are challenging!  No direct knowledge of ECE classes, but I don’t think their faculty likes being left behind (in inflicting pain …).

",0,2,2
11,osuprof,"
I looked over the bingo sheet for computer engineering at UMCP. It is a high quality program – 130 credits,  many computer science  classes, together with computer hardware and basic EE classes.  I happen to have direct knowledge of the CS classes – they are challenging!  No direct knowledge of ECE classes, but I don’t think their faculty likes being left behind (in inflicting pain …).

",3,2,0
11,osuprof,"
I looked over the bingo sheet for computer engineering at UMCP. It is a high quality program – 130 credits,  many computer science  classes, together with computer hardware and basic EE classes.  I happen to have direct knowledge of the CS classes – they are challenging!  No direct knowledge of ECE classes, but I don’t think their faculty likes being left behind (in inflicting pain …).

",0,0,0
13,rjkofnovi,"
^^^^Perhaps your brother would like to contribute some money towards the additional
240K expenditure?  Your son is not an average student.  No one who gets accepted to UCB or CMU is average.  Also. Things have changed a lot since your brother was in school.

",0,0,0
13,rjkofnovi,"
^^^^Perhaps your brother would like to contribute some money towards the additional
240K expenditure?  Your son is not an average student.  No one who gets accepted to UCB or CMU is average.  Also. Things have changed a lot since your brother was in school.

",3,2,0
13,rjkofnovi,"
^^^^Perhaps your brother would like to contribute some money towards the additional
240K expenditure?  Your son is not an average student.  No one who gets accepted to UCB or CMU is average.  Also. Things have changed a lot since your brother was in school.

",0,0,0
14,eyemgh,"
No brainer, UMD.
If you want to change his life FAR more than the choice between these schools will make, take half the savings, invest it in a total market fund, and give it to him for a future birthday.
The drop out rate at UMD is higher because it’s far less selective than CMU. Your son’s previous achievements are well correlated with future success.

",0,2,0
14,eyemgh,"
No brainer, UMD.
If you want to change his life FAR more than the choice between these schools will make, take half the savings, invest it in a total market fund, and give it to him for a future birthday.
The drop out rate at UMD is higher because it’s far less selective than CMU. Your son’s previous achievements are well correlated with future success.

",0,0,1
16,ucbalumnus,"



 Roark345:
[quote]
My brother who graduated from the School of Engineering at UMD many moons back tells me NOT to send S there. He says the drop out rate from engineering is too high and because it is so large S can easily get lost.
[/quote]

Decades ago, many state flagships (probably including Maryland) were not as selective as they are now.  Because engineering curricula were and are rigorous, the washout rate was high back then as many less prepared students decided it was too hard.
But a strong student of the type to earn a full ride merit scholarship is likely to be one who can handle the rigor of an engineering curriculum.



 Roark345:
[quote]
Brother says to send S to CMU where the class size is much smaller and a lot more attention is given from the professors.
[/quote]

How much is your brother offering to contribute?  The decision really belongs to whoever is attending and whoever is paying.

",0,0,1
16,ucbalumnus,"



 Roark345:
[quote]
My brother who graduated from the School of Engineering at UMD many moons back tells me NOT to send S there. He says the drop out rate from engineering is too high and because it is so large S can easily get lost.
[/quote]

Decades ago, many state flagships (probably including Maryland) were not as selective as they are now.  Because engineering curricula were and are rigorous, the washout rate was high back then as many less prepared students decided it was too hard.
But a strong student of the type to earn a full ride merit scholarship is likely to be one who can handle the rigor of an engineering curriculum.



 Roark345:
[quote]
Brother says to send S to CMU where the class size is much smaller and a lot more attention is given from the professors.
[/quote]

How much is your brother offering to contribute?  The decision really belongs to whoever is attending and whoever is paying.

",0,0,1
17,sevmom,"
Agree , ignore your brother unless he is paying.  My H went to CMU in engineering.    He had no interest in our kids going there. Just not worth the additional cost and not a good fit socially for them  either.  They went to state schools in Virginia for engineering  and are no worse for wear!

",1,0,2
17,sevmom,"
Agree , ignore your brother unless he is paying.  My H went to CMU in engineering.    He had no interest in our kids going there. Just not worth the additional cost and not a good fit socially for them  either.  They went to state schools in Virginia for engineering  and are no worse for wear!

",0,0,0
19,sevmom,"
Have a good trip to Pittsburgh. I was just there last week and drove through the
CMU campus.   If the expensive privates remain on the table, it might be a good idea to reinforce with your son that you do not intend to pay for graduate studies if he goes to a full pay private .  He may be hoping  you would change your mind on that (and maybe you would?) .  If there are younger siblings that also need to be factored in, consider the precedent that is set by the older
one 's choices/options.  Good luck!

",1,3,2
19,sevmom,"
Have a good trip to Pittsburgh. I was just there last week and drove through the
CMU campus.   If the expensive privates remain on the table, it might be a good idea to reinforce with your son that you do not intend to pay for graduate studies if he goes to a full pay private .  He may be hoping  you would change your mind on that (and maybe you would?) .  If there are younger siblings that also need to be factored in, consider the precedent that is set by the older
one 's choices/options.  Good luck!

",0,0,0
20,rjkofnovi,"
^^^Berkeley is expensive too for an OOS student.

",2,2,0
20,rjkofnovi,"
^^^Berkeley is expensive too for an OOS student.

",0,0,0
21,sevmom,"
Yes,  Berkeley is a public school.  And definitely expensive for an OOS student.  Are there any other schools still in consideration ,either public or private,  maybe with merit aid, that would be less expensive? If you are very affluent though, may not be an issue.

",2,2,0
21,sevmom,"
Yes,  Berkeley is a public school.  And definitely expensive for an OOS student.  Are there any other schools still in consideration ,either public or private,  maybe with merit aid, that would be less expensive? If you are very affluent though, may not be an issue.

",0,0,0
23,sevmom,"
No, but he  seems determined to not go to UMD , and that is a hard thing to get past. You might want to double check on whether or not all  AP credits will be accepted at the other schools.  And make very  sure he understands that the money stops after undergrad and that you have his sibling and your retirement to consider as well.

",0,1,1
23,sevmom,"
No, but he  seems determined to not go to UMD , and that is a hard thing to get past. You might want to double check on whether or not all  AP credits will be accepted at the other schools.  And make very  sure he understands that the money stops after undergrad and that you have his sibling and your retirement to consider as well.

",0,1,1
24,ucbalumnus,"
Be careful about assuming that AP credit will make it easy to graduate two semesters early. Check how they apply to subject requirements, not just number of credits.
Also, does he want to have to graduate early, versus being able to take more in or out of major electives?
Also, do not count on getting a UGSI job at UCB for CS 61A as a sophomore. Preference for such jobs goes to juniors and seniors by semesters attended, among other requirements. https://eecs.berkeley.edu/resources/gsis/prospective/ugsi

",0,0,0
24,ucbalumnus,"
Be careful about assuming that AP credit will make it easy to graduate two semesters early. Check how they apply to subject requirements, not just number of credits.
Also, does he want to have to graduate early, versus being able to take more in or out of major electives?
Also, do not count on getting a UGSI job at UCB for CS 61A as a sophomore. Preference for such jobs goes to juniors and seniors by semesters attended, among other requirements. https://eecs.berkeley.edu/resources/gsis/prospective/ugsi

",0,0,0
25,eyemgh,"
It may look like he can graduate in three years, but it’s HIGHLY unlikely. Even if he walks in with 25, 30, even 40% of the total credit volume, he’ll have to take certain classes in strict sequence, and some of them will only be offered during specific terms that might not align with his progress.
My son started with quite a few meaningful hours in mechanical engineering. He tested into Calc III, Physics II, and completely out of Chem and several GEs. He printed his curriculum sheet and traced through all of the prerequisites from senior project, backwards through his entire curriculum, to plot the most efficient path. There was no way to cut it below 4 years. He took a couple of light quarters (12 hours) and still only had 15 of 45 quarter hours left his senior year. The problem was, half of them were senior project. He decided to use his time taking graduate classes and will walk with a BS/MS in about 4.5 years.
What ends up happening in an engineering curriculum is that a lot of the GE hours go unused.

",0,0,0
25,eyemgh,"
It may look like he can graduate in three years, but it’s HIGHLY unlikely. Even if he walks in with 25, 30, even 40% of the total credit volume, he’ll have to take certain classes in strict sequence, and some of them will only be offered during specific terms that might not align with his progress.
My son started with quite a few meaningful hours in mechanical engineering. He tested into Calc III, Physics II, and completely out of Chem and several GEs. He printed his curriculum sheet and traced through all of the prerequisites from senior project, backwards through his entire curriculum, to plot the most efficient path. There was no way to cut it below 4 years. He took a couple of light quarters (12 hours) and still only had 15 of 45 quarter hours left his senior year. The problem was, half of them were senior project. He decided to use his time taking graduate classes and will walk with a BS/MS in about 4.5 years.
What ends up happening in an engineering curriculum is that a lot of the GE hours go unused.

",0,0,0
26,suzyQ7,"
Graduate in 3 years at Cal? No way. In state students in California can barely finish in 4 years because of impacted majors. I don’t get the allure of Cal… huge classes!

",2,2,0
26,suzyQ7,"
Graduate in 3 years at Cal? No way. In state students in California can barely finish in 4 years because of impacted majors. I don’t get the allure of Cal… huge classes!

",2,2,0
27,sevmom,"
I don’t get the allure of Cal either at $57,700 vs. $0 . But I am not the kid or the one paying the bill!

",3,2,0
27,sevmom,"
I don’t get the allure of Cal either at $57,700 vs. $0 . But I am not the kid or the one paying the bill!

",2,2,0
27,sevmom,"
I don’t get the allure of Cal either at $57,700 vs. $0 . But I am not the kid or the one paying the bill!

",3,2,2
28,ucbalumnus,"
Actually, graduating in four years from UCB is not generally a problem. Majors are impacted (limited in enrollment) so that the departments can offer all of the students in the major the courses they need.

",1,0,0
28,ucbalumnus,"
Actually, graduating in four years from UCB is not generally a problem. Majors are impacted (limited in enrollment) so that the departments can offer all of the students in the major the courses they need.

",1,1,0
28,ucbalumnus,"
Actually, graduating in four years from UCB is not generally a problem. Majors are impacted (limited in enrollment) so that the departments can offer all of the students in the major the courses they need.

",1,1,1
29,suzyQ7,"
Also, there is a very good chance that Amazon is going to put HQ2 in Nova/Montgomery County, MD. All the CS schools in the area will immediately become HOT HOT HOT. Internships galore.

",0,2,2
29,suzyQ7,"
Also, there is a very good chance that Amazon is going to put HQ2 in Nova/Montgomery County, MD. All the CS schools in the area will immediately become HOT HOT HOT. Internships galore.

",0,2,2
29,suzyQ7,"
Also, there is a very good chance that Amazon is going to put HQ2 in Nova/Montgomery County, MD. All the CS schools in the area will immediately become HOT HOT HOT. Internships galore.

",1,1,0
30,eyemgh,"
Personally I never understood the allure of Cal either. The classes are giant (Intro to CS is the largest lecture in the nation with over 1000 students) and they rely heavily on TAs for instruction. The campus is amoeboid with pretty parts, but no clear edges. I guess it’s all very personal. They do place CS grads into great jobs and the graduate school is one of the best in the world.

",1,0,2
30,eyemgh,"
Personally I never understood the allure of Cal either. The classes are giant (Intro to CS is the largest lecture in the nation with over 1000 students) and they rely heavily on TAs for instruction. The campus is amoeboid with pretty parts, but no clear edges. I guess it’s all very personal. They do place CS grads into great jobs and the graduate school is one of the best in the world.

",2,2,0
30,eyemgh,"
Personally I never understood the allure of Cal either. The classes are giant (Intro to CS is the largest lecture in the nation with over 1000 students) and they rely heavily on TAs for instruction. The campus is amoeboid with pretty parts, but no clear edges. I guess it’s all very personal. They do place CS grads into great jobs and the graduate school is one of the best in the world.

",2,2,0
31,learning19,"
Congratulations to OP.
if you do not mind, can you share the process of applying for full ride scholarship for UMD.
Did you apply for scholarship or automatically considered for scholarship based on test scores and GPA?
is UMD known for giving scholarships to out of state students too?

",0,0,0
31,learning19,"
Congratulations to OP.
if you do not mind, can you share the process of applying for full ride scholarship for UMD.
Did you apply for scholarship or automatically considered for scholarship based on test scores and GPA?
is UMD known for giving scholarships to out of state students too?

",0,2,2
31,learning19,"
Congratulations to OP.
if you do not mind, can you share the process of applying for full ride scholarship for UMD.
Did you apply for scholarship or automatically considered for scholarship based on test scores and GPA?
is UMD known for giving scholarships to out of state students too?

",0,0,0
32,aunt_bea,"
Our UC schools have huge lecture halls and classes do get into the hundreds, often, for prerequisite courses.
If your son plans to do post grad work, will he have access to profs for LORs?
My dd had a lot of GAs teaching her courses.
Oh, and Cal is UBER competitive.
You plan on paying for that^???

",1,1,0
32,aunt_bea,"
Our UC schools have huge lecture halls and classes do get into the hundreds, often, for prerequisite courses.
If your son plans to do post grad work, will he have access to profs for LORs?
My dd had a lot of GAs teaching her courses.
Oh, and Cal is UBER competitive.
You plan on paying for that^???

",2,2,0
32,aunt_bea,"
Our UC schools have huge lecture halls and classes do get into the hundreds, often, for prerequisite courses.
If your son plans to do post grad work, will he have access to profs for LORs?
My dd had a lot of GAs teaching her courses.
Oh, and Cal is UBER competitive.
You plan on paying for that^???

",2,2,0
33,suzyQ7,"
Paying 60K for a school like UCB where the vast majority are paying less than 25K (Cal residents) is crazy to me.  I totally get why California students want to go there (cheap and high ranked and close to home) and they live with the cons - huge classes, impacted majors, geographically homogeneous student body, etc because it’s highly ranked and cheap. At least at CMU, you are paying for a private school experience. Smaller classes, plenty of sections, geographically diversity, etc.

",2,0,1
33,suzyQ7,"
Paying 60K for a school like UCB where the vast majority are paying less than 25K (Cal residents) is crazy to me.  I totally get why California students want to go there (cheap and high ranked and close to home) and they live with the cons - huge classes, impacted majors, geographically homogeneous student body, etc because it’s highly ranked and cheap. At least at CMU, you are paying for a private school experience. Smaller classes, plenty of sections, geographically diversity, etc.

",2,2,0
33,suzyQ7,"
Paying 60K for a school like UCB where the vast majority are paying less than 25K (Cal residents) is crazy to me.  I totally get why California students want to go there (cheap and high ranked and close to home) and they live with the cons - huge classes, impacted majors, geographically homogeneous student body, etc because it’s highly ranked and cheap. At least at CMU, you are paying for a private school experience. Smaller classes, plenty of sections, geographically diversity, etc.

",2,0,1
34,ucbalumnus,"



 suzyQ7:
[quote]
At least at CMU, you are paying for a private school experience. Smaller classes, plenty of sections, geographically diversity, etc.
[/quote]

CMU SCS computer science courses do not appear to be that small, according to the class schedule, which lists many of them with several discussion/recitation sections associated with a lecture: https://enr-apps.as.cmu.edu/open/SOC/SOCServlet/search .
Students going into CS at a highly selective state flagship or private school known for CS should not be surprised that the popularity of the CS major means large classes.  Even places like Stanford and Harvard (700) and Harvey Mudd (200) have large class sizes for their introductory CS courses.

",2,0,1
34,ucbalumnus,"



 suzyQ7:
[quote]
At least at CMU, you are paying for a private school experience. Smaller classes, plenty of sections, geographically diversity, etc.
[/quote]

CMU SCS computer science courses do not appear to be that small, according to the class schedule, which lists many of them with several discussion/recitation sections associated with a lecture: https://enr-apps.as.cmu.edu/open/SOC/SOCServlet/search .
Students going into CS at a highly selective state flagship or private school known for CS should not be surprised that the popularity of the CS major means large classes.  Even places like Stanford and Harvard (700) and Harvey Mudd (200) have large class sizes for their introductory CS courses.

",1,1,0
34,ucbalumnus,"



 suzyQ7:
[quote]
At least at CMU, you are paying for a private school experience. Smaller classes, plenty of sections, geographically diversity, etc.
[/quote]

CMU SCS computer science courses do not appear to be that small, according to the class schedule, which lists many of them with several discussion/recitation sections associated with a lecture: https://enr-apps.as.cmu.edu/open/SOC/SOCServlet/search .
Students going into CS at a highly selective state flagship or private school known for CS should not be surprised that the popularity of the CS major means large classes.  Even places like Stanford and Harvard (700) and Harvey Mudd (200) have large class sizes for their introductory CS courses.

",1,0,0
35,sevmom,"
CS  has exploded in the last few years .  It has become very hot.

",2,0,0
35,sevmom,"
CS  has exploded in the last few years .  It has become very hot.

",1,1,0
35,sevmom,"
CS  has exploded in the last few years .  It has become very hot.

",1,1,0
37,suzyQ7,"
Thanks for the update! Is UCB off the table?

",1,1,0
37,suzyQ7,"
Thanks for the update! Is UCB off the table?

",2,2,0
37,suzyQ7,"
Thanks for the update! Is UCB off the table?

",0,0,0
39,katliamom,"
I’m a huge fan of Cal. (Alma mater.) I really think it’s one of the most exciting schools/areas you could pick to go to school. I have family members that recently graduated from Cal and had no problem doing it in 4 years. (One was able to graduate a semester early, in fact.)
That said, given the choice between Cal and CMU at a similar price point, I totally see CMU as a rational option.  CMU is a renowned science and tech school that would offer a more personal, personalized education and  likely easier access to faculty and research. Cal is notorious for its bureaucracy and minimal customer service, something frankly you should expect when paying over $50K per year.

",2,0,0
39,katliamom,"
I’m a huge fan of Cal. (Alma mater.) I really think it’s one of the most exciting schools/areas you could pick to go to school. I have family members that recently graduated from Cal and had no problem doing it in 4 years. (One was able to graduate a semester early, in fact.)
That said, given the choice between Cal and CMU at a similar price point, I totally see CMU as a rational option.  CMU is a renowned science and tech school that would offer a more personal, personalized education and  likely easier access to faculty and research. Cal is notorious for its bureaucracy and minimal customer service, something frankly you should expect when paying over $50K per year.

",3,0,0
39,katliamom,"
I’m a huge fan of Cal. (Alma mater.) I really think it’s one of the most exciting schools/areas you could pick to go to school. I have family members that recently graduated from Cal and had no problem doing it in 4 years. (One was able to graduate a semester early, in fact.)
That said, given the choice between Cal and CMU at a similar price point, I totally see CMU as a rational option.  CMU is a renowned science and tech school that would offer a more personal, personalized education and  likely easier access to faculty and research. Cal is notorious for its bureaucracy and minimal customer service, something frankly you should expect when paying over $50K per year.

",1,0,0
40,ucbalumnus,"



 Roark345:
[quote]
I asked how large are junior EECS classes he said some are 600 students. Upper classman classes with 600 students!
[/quote]

Looks like they let the L&S CS major expand to 550 students per year (despite the minimum 3.3 college GPA in the prerequisites for L&S undeclared students to enter the major), to go along with the 300-400 in EECS (which is tightly regulated at the frosh and transfer admission levels).  L&S CS appears to be the second largest major on the UCB campus (economics is larger), a very different situation from the early-to-mid 2000s when the number of students was under 100 per year in the wake of the tech bubble crash.
According to the class schedule, the upper division courses with over 600 students appear to be CS 170 (algorithms) and CS 188 (artificial intelligence).  On the other hand, there does not seem to be much interest in the EE side of EECS, since the upper division EE courses have enrollments under 30.

",0,0,0
40,ucbalumnus,"



 Roark345:
[quote]
I asked how large are junior EECS classes he said some are 600 students. Upper classman classes with 600 students!
[/quote]

Looks like they let the L&S CS major expand to 550 students per year (despite the minimum 3.3 college GPA in the prerequisites for L&S undeclared students to enter the major), to go along with the 300-400 in EECS (which is tightly regulated at the frosh and transfer admission levels).  L&S CS appears to be the second largest major on the UCB campus (economics is larger), a very different situation from the early-to-mid 2000s when the number of students was under 100 per year in the wake of the tech bubble crash.
According to the class schedule, the upper division courses with over 600 students appear to be CS 170 (algorithms) and CS 188 (artificial intelligence).  On the other hand, there does not seem to be much interest in the EE side of EECS, since the upper division EE courses have enrollments under 30.

",0,0,0
40,ucbalumnus,"



 Roark345:
[quote]
I asked how large are junior EECS classes he said some are 600 students. Upper classman classes with 600 students!
[/quote]

Looks like they let the L&S CS major expand to 550 students per year (despite the minimum 3.3 college GPA in the prerequisites for L&S undeclared students to enter the major), to go along with the 300-400 in EECS (which is tightly regulated at the frosh and transfer admission levels).  L&S CS appears to be the second largest major on the UCB campus (economics is larger), a very different situation from the early-to-mid 2000s when the number of students was under 100 per year in the wake of the tech bubble crash.
According to the class schedule, the upper division courses with over 600 students appear to be CS 170 (algorithms) and CS 188 (artificial intelligence).  On the other hand, there does not seem to be much interest in the EE side of EECS, since the upper division EE courses have enrollments under 30.

",0,0,0
41,sevmom,"
CMU is not for everyone   Fit is very important there.  Can’t imagine that it is so “renowned” for engineering that it is worth a major premium over UMD.  There are smart kids at every engineering school. He would have no shortage of very smart peers at UMD.

",0,0,2
41,sevmom,"
CMU is not for everyone   Fit is very important there.  Can’t imagine that it is so “renowned” for engineering that it is worth a major premium over UMD.  There are smart kids at every engineering school. He would have no shortage of very smart peers at UMD.

",0,0,3
41,sevmom,"
CMU is not for everyone   Fit is very important there.  Can’t imagine that it is so “renowned” for engineering that it is worth a major premium over UMD.  There are smart kids at every engineering school. He would have no shortage of very smart peers at UMD.

",0,0,1
43,sevmom,"
Good luck with the decision!

",0,0,0
43,sevmom,"
Good luck with the decision!

",0,0,0
43,sevmom,"
Good luck with the decision!

",0,0,0
45,ucbalumnus,"
Look at the online class schedule for each school if you want to see class sizes.
http://www.berkeleytime.com has grade distributions by course for UCB. Don’t know if CMU has anything similar. http://www.ourumd.com/ has grade distributions for Maryland. Presumably this is desired because of law school intentions?
“Research assistant” commonly means a PhD student being paid a stipend and tuition waiver for some research assistant work. So if one is leading a discussion or recitation section of a class, that is functionally like what is ordinarily called a teaching assistant or graduate student instructor.

",0,0,0
45,ucbalumnus,"
Look at the online class schedule for each school if you want to see class sizes.
http://www.berkeleytime.com has grade distributions by course for UCB. Don’t know if CMU has anything similar. http://www.ourumd.com/ has grade distributions for Maryland. Presumably this is desired because of law school intentions?
“Research assistant” commonly means a PhD student being paid a stipend and tuition waiver for some research assistant work. So if one is leading a discussion or recitation section of a class, that is functionally like what is ordinarily called a teaching assistant or graduate student instructor.

",0,0,0
45,ucbalumnus,"
Look at the online class schedule for each school if you want to see class sizes.
http://www.berkeleytime.com has grade distributions by course for UCB. Don’t know if CMU has anything similar. http://www.ourumd.com/ has grade distributions for Maryland. Presumably this is desired because of law school intentions?
“Research assistant” commonly means a PhD student being paid a stipend and tuition waiver for some research assistant work. So if one is leading a discussion or recitation section of a class, that is functionally like what is ordinarily called a teaching assistant or graduate student instructor.

",0,0,0
46,eyemgh,"
$270,000 vs. free. That’s a CMU education or a UMD education and $3,000,000 when he turns 58. That’s the true difference when you consider the opportunity cost of the money ($270,000 at 6% annually for 40 years). Alternatively, it’s $1,500,000 at age 48. It would be a nice bridge between an early retirement and his fully funded 401k at 59.5.
He might get a slightly better experience at CMU, maybe even a superior experience. What he won’t get though is an experience that’s even remotely close to $270,000 more valuable financially. You all have to decide if you are flush enough to provide that as a gift simply based on the experience.
It’s unfortunately too late for this option now for you, but we had a plan for just this case. Not believing ANY undergraduate degree from ANY school is worth a quarter of a million dollars, we simply told our son that any program that netted out over $200k was off the table. The only schools he applied to, in addition to meeting all the requirements that he wanted out of a school, were schools that had reputations of granting good merit aid to high stats students.
Tough choice, but the financial implications are real.

",0,0,2
46,eyemgh,"
$270,000 vs. free. That’s a CMU education or a UMD education and $3,000,000 when he turns 58. That’s the true difference when you consider the opportunity cost of the money ($270,000 at 6% annually for 40 years). Alternatively, it’s $1,500,000 at age 48. It would be a nice bridge between an early retirement and his fully funded 401k at 59.5.
He might get a slightly better experience at CMU, maybe even a superior experience. What he won’t get though is an experience that’s even remotely close to $270,000 more valuable financially. You all have to decide if you are flush enough to provide that as a gift simply based on the experience.
It’s unfortunately too late for this option now for you, but we had a plan for just this case. Not believing ANY undergraduate degree from ANY school is worth a quarter of a million dollars, we simply told our son that any program that netted out over $200k was off the table. The only schools he applied to, in addition to meeting all the requirements that he wanted out of a school, were schools that had reputations of granting good merit aid to high stats students.
Tough choice, but the financial implications are real.

",0,0,0
